Date,Headline,Sentiment,Confidence_Score
2026-03-17,"Finance Minister Meets Financial Regulators, Emphasizes Stability and Investment Growth",NEUTRAL,0.8488
2026-03-17,NRNA Global Conference Concludes with 12-Point Declaration Focused on Investment and Diaspora Engagement,NEUTRAL,0.9372
2026-03-17,"Shikhar Power Development Limited IPO Allotment Concludes: Lucky 1,84,260 Applicants Allotted 10 Units Each via Lottery System",NEUTRAL,0.8809
2026-03-17,"NEPSE Index Falls 26.07 Points to Settle at  2,798.83; Turnover Around Rs.11.97 Arba",NEGATIVE,0.918
2026-03-17,"""Nepal Life Samriddhi Lagani Yojana'' Now Listed on NEPSE",NEUTRAL,0.9221
2026-03-17,Bonus Shares of Three Companies Listed in NEPSE,NEUTRAL,0.9406
2026-03-17,Global IME Bank Launches Youth-Focused Financial Literacy Programs for Global Money Week 2026,NEUTRAL,0.7704
2026-03-17,"As Lock-in Period Nears Its End for Several Companies, Will NEPSE Liquidity Change?",NEUTRAL,0.6773
2026-03-17,Sun Nepal Life Insurance Launches 2083 Calendar Highlighting Wildlife Conservation and Sustainability,NEUTRAL,0.887
2026-03-17,Citizens Bank Celebrates 19th Anniversary with Intra-Bank Cricket Tournament and Digital Banking Innovations,POSITIVE,0.5498
2026-03-17,Analysis,NEUTRAL,0.8815
2026-03-17,News,NEUTRAL,0.8945
2026-03-17,Info,NEUTRAL,0.8941
2026-03-17,Market,NEUTRAL,0.8945
